topico,tema,enunciado,resposta_certa,explicacao,id
tópico 2,Deduplicação,"Questão:
A tecnologia de deduplicação é amplamente utilizada no armazenamento de dados para otimizar o espaço, reduzindo a quantidade de dados redundantes armazenados. Qual dos seguintes afirma corretamente uma característica ou consequência do processo de deduplicação em sistemas de armazenamento de dados?

A) A deduplicação não afeta o desempenho do sistema de backup, pois apenas ocorre durante períodos de baixa atividade.

B) A deduplicação pode ser feita tanto no nível do arquivo (arquivo completo) quanto no nível do bloco (pequenas partes do arquivo), sendo a última geralmente mais eficiente na redução da redundância.

C) A deduplicação é um processo puramente de software e não pode ser implementada no hardware ou em dispositivos de armazenamento dedicados.

D) A deduplicação conduz necessariamente a uma melhoria na segurança dos dados, pois há menos cópias dos arquivos para proteger.

E) O processo de deduplicação aumenta significativamente a quantidade de metadados necessários para gerenciar o armazenamento de dados, uma vez que cada arquivo é armazenado como uma entidade única e indivisível.

",B,B,0
tópico 5,"Processamento de linguagem natural: Normalização textual - stop words, estemização, lematização e análise de frequência de termos; Rotulação de partes do discurso, part-of-speech tagging; Modelos de representação de texto - N-gramas, modelos vetoriais de palavras (CBOW, Skip-Gram e GloVe), modelos vetoriais de documentos (booleano, TF e TF-IDF, média de vetores de palavras e Paragraph Vector); Métricas de similaridade textual - similaridade do cosseno, distância euclidiana, similaridade de Jaccard, distância de Manhattan e coeficiente de Dice","Questão:
A análise de textos por meio de técnicas de Processamento de Linguagem Natural (PLN) evoluiu significativamente com a introdução de diferentes métodos de pré-processamento de dados, representação textual e cálculo de similaridade. Nesse contexto, julgue os itens a seguir como verdadeiros (V) ou falsos (F):

I. A remoção de stop words, a estemização e a lematização são procedimentos de normalização textual que visam reduzir a variabilidade de formas das palavras a um formato mais genérico para simplificar a análise semântica do texto.

II. Na rotulação de partes do discurso (part-of-speech tagging), cada palavra de um texto é marcada com um rótulo que indica sua função gramatical sem levar em consideração o contexto em que está inserida.

III. No modelo vetorial booleano, a frequência com que um termo ocorre em um documento é irrelevante, considerando-se apenas a presença ou ausência do termo.

IV. A similaridade do cosseno é uma métrica de similaridade textual que pode ser usada para calcular a distância angular entre dois vetores de palavras em um espaço multidimensional, sendo insensível à magnitude dos vetores.

V. O coeficiente de Dice é uma métrica de associação que pode ser adaptada para avaliar a similaridade textual considerando a interseção de palavras-chave entre os documentos em relação ao total de palavras-chave nos dois documentos.

Estão corretos apenas os itens:

a) I, II e IV.
b) I, III e V.
c) II, IV e V.
d) I, III e IV.
e) III, IV e V.

",d,"

Explicação dos itens:

I. Verdadeiro. A remoção de stop words (palavras comuns com pouco valor semântico), a estemização (processo de reduzir palavras às suas raízes ou radicais) e a lematização (redução de palavras às suas formas lexicais básicas) são técnicas de normalização textual que ajudam a diminuir a complexidade do texto para a análise.

II. Falso. A rotulação de partes do discurso ou part-of-speech tagging efetivamente associa etiquetas às palavras em um texto, como substantivo, verbo, adjetivo, etc. No entanto, a assertiva está errada ao indicar que o processo não leva em consideração o contexto; na verdade, o contexto é fundamental para um POS tagging correto.

III. Verdadeiro. O modelo vetorial booleano é uma representação binária em que um termo está presente (1) ou ausente (0) em um documento. A frequência com que ele aparece não é considerada.

IV. Verdadeiro. A similaridade do cosseno mede a similaridade cos angular entre dois vetores, independente da sua magnitude, o que é particularmente útil em PLN quando se deseja ignorar o comprimento do documento e focar na direção dos vetores de características.

V. Falso. Embora o coeficiente de Dice seja uma métrica de associação e possa ser usado para calcular a similaridade, ele não busca avaliar a interseção de palavras-chave em relação ao total, mas sim em relação à soma do número de palavras-chave em ambos os documentos. Isso é levemente diferente do que é indicado no item.",1
tópico 3,Programação funcional,"Questão:

Na programação funcional, uma função é considerada pura quando segue certos princípios. Assinale a opção que caracteriza corretamente uma função pura.

A) A função deve ter pelo menos um efeito colateral para interagir com outras funções e módulos no sistema.
B) O valor de retorno da função deve ser calculado usando apenas os argumentos fornecidos, sem utilizar dados externos ou estados globais.
C) A função deve alterar seu argumento de entrada para que o estado do sistema seja atualizado corretamente.
D) Cada vez que a função é chamada, ela retorna um valor diferente, dependendo do estado global do sistema no momento da chamada.
E) A função se comunica com uma fonte externa, como realizar uma operação de entrada/saída, a cada chamada.

",B,"

Explicação:

A) Incorreta. Funções puras devem evitar efeitos colaterais. Efeitos colaterais incluem, mas não estão limitados a, modificações de variáveis globais, operações de I/O e atualização de estados em referências passadas como argumento.

B) Correta. Este item capta perfeitamente a essência de funções puras: um valor de retorno que é exclusivamente determinado pelos seus valores de entrada e não tem impacto sobre o estado global ou local.

C) Incorreta. Funções puras não devem alterar seus argumentos de entrada ou qualquer estado externo, o conceito é conhecido como imutabilidade e é um dos princípios da programação funcional.

D) Incorreta. Uma função pura deve ser referencialmente transparente, o que significa que pode ser substituída pelo seu valor de saída sem alterar o comportamento do programa. Se retornar valores diferentes para as mesmas entradas, então depende de um estado externo e não é pura.

E) Incorreta. Conexão com uma fonte externa ou operações de entrada/saída são exemplos de efeitos colaterais, o que vai contra o princípio de uma função pura.
",2
tópico 1,"Banco de dados relacional: SQL Server, PostgreSQL, MySQL","Questão:
Um administrador de banco de dados precisa melhorar o desempenho das consultas em um sistema que utiliza o MySQL. Ele observa que muitas das consultas críticas executam varreduras completas em tabelas grandes, o que é ineficiente. Ele decide implementar índices para acelerar estas consultas.

Considerando o cenário descrito, qual das seguintes estratégias é a mais eficiente para a criação de índices no MySQL, visando a otimização de consultas em tabelas com grandes volumes de dados?

A) Criar índices para todas as colunas das tabelas, pois isso garantirá que todas as consultas sejam rápidas.

B) Utilizar o comando EXPLAIN em consultas representativas para identificar quais colunas se beneficiariam mais da indexação.

C) Eliminar completamente os índices das tabelas grandes, pois índices introduzem overhead de manutenção e podem desacelerar as inserções e atualizações.

D) Criar um índice único e composto que inclua todas as colunas usadas nas consultas, minimizando o número de índices a serem mantidos.

E) Priorizar a criação de índices em colunas que possuem chave estrangeira, independentemente do seu uso em consultas frequentes.

",B,"

Explicação dos itens:

A) Criar índices para todas as colunas das tabelas pode ser contraprodutivo, pois isso adiciona um overhead significativo de manutenção dos índices durante as operações de inserção, atualização e exclusão, sem necessariamente melhorar o desempenho das consultas.

B) Utilizar o comando EXPLAIN é uma prática recomendada para entender como as consultas são executadas e quais partes delas podem ser otimizadas com índices. Ao identificar as colunas mais utilizadas nas operações de busca, é possível criar índices mais eficientes e direcionados.

C) Eliminar índices pode piorar o desempenho de leitura, já que os índices são fundamentais para acelerar as buscas em tabelas grandes. Eles devem ser usados com sabedoria, mas não eliminados por completo.

D) Um índice único e composto pode ser útil em certas situações, mas ele só será eficiente se as consultas utilizarem todas as colunas do índice ou uma sequência prefixada dele. Ele nem sempre é a melhor opção, especialmente se as consultas variarem muito nas colunas que utilizam.

E) Priorizar a criação de índices em colunas com chave estrangeira é importante para operações de JOIN, mas se essas colunas não são frequentemente consultadas, elas podem não ser as melhores candidatas para indexação em termos de otimização de consultas. A análise deve ser baseada no uso efetivo dessas colunas em operações críticas.",739371
tópico 1,"Banco de dados relacional: SQL Server, PostgreSQL, MySQL","Questão: Considerando os sistemas de gerenciamento de banco de dados relacionais (SGBDR) SQL Server, PostgreSQL e MySQL, qual das seguintes opções representa um recurso ou funcionalidade que é exclusivo ao SQL Server em comparação com os outros dois SGBDRs?

A) Capacidade de realizar transações ACID (Atomicidade, Consistência, Isolamento, Durabilidade).
B) Utilização de stored procedures para encapsular a lógica de negócio.
C) Disponibilidade de um sistema de replicação para distribuir dados entre diferentes bases de dados.
D) Uso de índices de texto completo para melhorar a performance de consultas baseadas em texto.
E) Suporte nativo para a linguagem de modelagem de dados XML e a capacidade de armazenar XML como um tipo de dado.

",E,"

Explicação dos itens:

A) Incorrecto. Transações ACID são um princípio fundamental de qualquer SGBD relacional e estão presentes tanto no SQL Server quanto no PostgreSQL e MySQL.

B) Incorrecto. Stored procedures são uma funcionalidade comum entre os SGBDRs e estão presentes em SQL Server, PostgreSQL e MySQL, permitindo a encapsulação da lógica de negócio diretamente no banco de dados.

C) Incorrecto. Sistemas de replicação são oferecidos por quase todos os grandes SGBDRs modernos, incluindo o SQL Server, PostgreSQL e MySQL, facilitando a distribuição e sincronização de dados entre diferentes servidores ou locais.

D) Incorrecto. O suporte para índices de texto completo é uma característica presente em muitos SGBDRs, inclusive em SQL Server, PostgreSQL e MySQL, para otimizar a performance de buscas de texto.

E) Correto. O suporte nativo para XML, incluindo a habilidade de armazenar, consultar e manipular dados XML diretamente dentro do banco de dados usando tipos de dados específicos, é uma característica distintiva do SQL Server em relação ao PostgreSQL e MySQL. Enquanto esses últimos SGBDRs oferecem suporte a XML de várias maneiras, o SQL Server tem uma integração mais profunda e robusta com XML, incluindo a capacidade de indexação e consultas eficientes usando XQuery.",3760240
tópico 1,"Banco de dados e formatos de arquivo orientado a colunas: Parquet, MonetDB, duckDB","Questão:

Quando lidamos com grandes conjuntos de dados, a escolha do formato de armazenamento e do sistema gerenciador de banco de dados pode ter um impacto significativo na eficiência das operações de leitura e escrita, bem como na otimização de consultas analíticas. Dentre os formatos de arquivo e gerenciadores de banco de dados orientados a colunas, temos o Parquet, MonetDB e duckDB, que são projetados para otimizar operações analíticas em grandes volumes de dados. Considerando estas tecnologias, assinale a opção que apresenta uma afirmação INCORRETA.

A) Parquet é um formato de arquivo colunar de código aberto que suporta compressão de dados e esquemas evolutivos, amplamente utilizado em ecossistemas de Big Data como Hadoop e Spark.

B) MonetDB é um banco de dados relacional orientado a colunas, que se destaca pela sua capacidade de executar operações de processamento analítico online (OLAP) de forma eficiente, devido à sua arquitetura inovadora de gerenciamento de memória.

C) duckDB é um gerenciador de banco de dados relacional, que oferece suporte para operações OLTP (Online Transaction Processing), privilegiando a eficiência das transações em detrimento de consultas analíticas complexas.

D) O formato Parquet e os sistemas MonetDB e duckDB são capazes de realizar operações de pushdown de predicados, o que permite que filtros e agregações sejam aplicados diretamente nos dados armazenados, reduzindo a quantidade de dados movimentados durante consultas.

E) A utilização de índices de bitmap é um recurso comum em sistemas de banco de dados orientados a colunas como o MonetDB, o qual permite consultas de alta performance em colunas com pouca cardinalidade.

",C,"

Explicação dos itens:

A) Correta. O Parquet é de fato um formato de arquivo colunar que oferece compressão eficiente e suporta esquemas que podem evoluir ao longo do tempo, sendo amplamente adotado em ambientes como Hadoop e Spark para armazenamento de dados de maneira eficiente.

B) Correta. MonetDB é um sistema gerenciador de banco de dados relacional e orientado a colunas que se destaca na execução de consultas OLAP. A sua arquitetura é voltada para um alto desempenho em operações analíticas, principalmente devido ao seu gerenciamento de memória e execução de consultas em vetor.

C) Incorreta. DuckDB é um banco de dados analítico que também é orientado a colunas e projetado para OLAP (processamento analítico online) e não OLTP. Ao contrário do que a afirmação sugere, ele é otimizado para consultas analíticas complexas e não para eficiência de transações usuais em OLTP.

D) Correta. O pushdown de predicados é uma característica importante de sistemas orientados a colunas, e tanto o formato de arquivo Parquet, quanto os sistemas MonetDB e duckDB oferecem suporte a essa funcionalidade, otimizando a execução de consultas ao reduzir a necessidade de transferência de grandes volumes de dados.

E) Correta. O uso de índices de bitmap é de fato um recurso comum em sistemas de banco de dados orientados a colunas. Eles são especialmente úteis em colunas com pouca variação de valores (baixa cardinalidade), pois permitem um rápido filtro e são eficientes em termos de espaço. MonetDB é um exemplo de sistema que pode utilizar índices de bitmap para melhorar o desempenho das consultas.",8435471
tópico 4,Medidas de tendência central e dispersão e correlação,"Questão:
A análise estatística de um conjunto de dados pode fornecer informações valiosas sobre o comportamento e as características desse conjunto. Com relação às medidas de tendência central e dispersão, assim como a correlação entre variáveis, julgue os itens a seguir e assinale a opção correta.

I. A média aritmética sempre será uma medida de tendência central adequada, independentemente da presença de valores extremos (outliers).
II. A mediana é menos sensível a outliers do que a média aritmética, pois depende unicamente da posição central dos dados, e não dos seus valores.
III. O desvio padrão é uma medida de dispersão que considera o quão espalhados estão os valores em relação à média, sendo mais influenciado por valores extremos do que a variância.
IV. O coeficiente de correlação de Pearson é um indicador de relação linear entre duas variáveis, assumindo valores entre -1 e +1, onde 0 indica a ausência de correlação linear.

A) Apenas os itens II e IV estão corretos.
B) Apenas os itens I e III estão corretos.
C) Apenas os itens II e III estão corretos.
D) Todos os itens estão corretos.
E) Apenas os itens I, II, e IV estão corretos.

",A,"

Explicação dos itens:

I. Incorreto. A média aritmética pode ser fortemente influenciada por valores extremos (outliers). Em tais casos, pode não representar adequadamente a tendência central dos dados.

II. Correto. A mediana é uma medida de tendência central que é menos sensível a outliers, proporcionando uma melhor representação do ponto central dos dados em distribuições assimétricas.

III. Incorreto. O desvio padrão é uma medida de dispersão que é afetada por valores extremos, porém é a variância que leva ao quadrado as diferenças em relação à média. O desvio padrão é a raiz quadrada da variância e ambos são igualmente influenciados por outliers, contrariando o enunciado do item.

IV. Correto. O coeficiente de correlação de Pearson mede a força e a direção da relação linear entre duas variáveis, onde -1 representa uma correlação negativa perfeita, +1 representa uma correlação positiva perfeita e 0 indica que não há correlação linear.",683166
tópico 5,"Processamento de linguagem natural: Normalização textual - stop words, estemização, lematização e análise de frequência de termos; Rotulação de partes do discurso, part-of-speech tagging; Modelos de representação de texto - N-gramas, modelos vetoriais de palavras (CBOW, Skip-Gram e GloVe), modelos vetoriais de documentos (booleano, TF e TF-IDF, média de vetores de palavras e Paragraph Vector); Métricas de similaridade textual - similaridade do cosseno, distância euclidiana, similaridade de Jaccard, distância de Manhattan e coeficiente de Dice","Questão: No campo de Processamento de Linguagem Natural (PLN), diversas técnicas são aplicadas para a preparação e análise de textos. Dentre os processos de normalização textual está a lematização, que consiste em:

A) Converter todas as palavras em letras minúsculas para evitar a distinção entre maiúsculas e minúsculas.
B) Eliminar palavras comuns que não contribuem para o significado do texto, como artigos, preposições e conjunções.
C) Reduzir as palavras flexionadas ou derivadas ao seu radical ou forma base, muitas vezes resultando em uma forma que não corresponde à palavra válida do idioma.
D) Reduzir palavras à sua forma dicionarizada, considerando a análise morfológica para encontrar o lema correto.
E) Selecionar apenas as palavras que ocorrem com mais frequência no texto para representar o seu conteúdo principal.

",D,"

Explicação dos itens:

A) Incorreto. Converter todas as palavras em letras minúsculas é uma técnica conhecida como ""case folding"", que é uma prática usual na normalização de textos, mas não é o que define a lematização.

B) Incorreto. Eliminar palavras comuns, conhecidas como ""stop words"", é uma etapa importante na normalização textual, mas não corresponde ao processo de lematização.

C) Incorreto. A redução de palavras ao seu radical é conhecida como ""estemização"" ou ""stemming"". Este processo frequentemente resulta em uma forma que não é exatamente um lema e pode não ser uma palavra válida do idioma, o que não ocorre na lematização.

D) Correto. A lematização é o processo de reduzir uma palavra à sua forma dicionarizada, o lema, considerando a análise morfológica para entender o contexto e definir a forma base correta, que é uma palavra válida do idioma e que representa a unidade semântica base.

E) Incorreto. A seleção de palavras com base na frequência é uma prática comum na representação vetorial de textos e na análise de frequência de termos, no entanto, não está relacionada diretamente à lematização.",2215491
tópico 3,"Manipulação e tabulação de dados (numpy, pandas, tidyr,verse, data.table)","Questão: Em uma análise de dados utilizando a biblioteca Pandas no Python, um cientista de dados precisa manipular um grande DataFrame chamado `vendas_df`, que contém informações sobre vendas de produtos em diferentes lojas de uma rede varejista. Uma das colunas chama-se `data_venda` e está no formato `string` seguindo o padrão ""aaaa-mm-dd"". O cientista de dados deseja criar duas colunas adicionais, uma contendo apenas o ano e outra apenas o mês extraídos da coluna `data_venda`. Qual das seguintes opções de código realizaria essa tarefa corretamente?

A) 
```python
vendas_df['ano'] = vendas_df['data_venda'].apply(lambda x: x.split('-')[0])
vendas_df['mes'] = vendas_df['data_venda'].apply(lambda x: x.split('-')[1])
```

B) 
```python
vendas_df['ano'], vendas_df['mes'] = vendas_df['data_venda'].str[:4], vendas_df['data_venda'].str[5:7]
```

C) 
```python
vendas_df[['ano', 'mes']] = vendas_df['data_venda'].str.extract(r'(\d{4})-(\d{2})')
```
 
D) 
```python
vendas_df['ano'] = pd.DatetimeIndex(vendas_df['data_venda']).year
vendas_df['mes'] = pd.DatetimeIndex(vendas_df['data_venda']).month
```

E) 
```python
vendas_df['data_venda'] = pd.to_datetime(vendas_df['data_venda'])
vendas_df.assign(ano=vendas_df['data_venda'].dt.year, mes=vendas_df['data_venda'].dt.month)
```

",D,"

Explicação dos itens:

A) Este item usa a função `apply` com uma expressão lambda para dividir a string e extrair ano e mês. Embora funcione, não é a solução mais eficiente ou apropriada para datasets grandes devido ao desempenho do `apply`.

B) Este item extrai as substrings diretamente pelos índices das strings. Apesar de rápido, é menos legível e pode causar erros se o formato da data estiver inconsistente.

C) A função `extract` com uma expressão regular também é capaz de separar ano e mês corretamente. No entanto, ela retorna um DataFrame novo com as colunas especificadas, e não atribui as colunas diretamente ao DataFrame original.

D) O uso da classe `DatetimeIndex` é uma abordagem eficiente e recomendada, já que é capaz de converter strings em objetos datetime e depois acessar os atributos `year` e `month`. Esta é a opção correta, pois realiza a tarefa de maneira eficiente e direta.

E) Similar ao item D, converte a coluna `data_venda` para datetime e em seguida utiliza o método `assign` para adicionar as colunas 'ano' e 'mes'. No entanto, `assign` retorna um novo DataFrame e não modifica o original. Também faltou a reatribuição para que as alterações fossem salvas em `vendas_df`.",3796627
tópico 4,"Diagramas causais: gráficos acíclicos dirigidos; variáveis confundidoras, colisoras e de mediação","Questão:
Em estudos estatísticos e de causalidade, especialmente na área de epidemiologia, os Diagramas Acíclicos Dirigidos (DAGs) são utilizados para representar as relações causais entre diversas variáveis. É de suma importância distinguir os diferentes papéis que as variáveis podem desempenhar em um DAG. Considere as seguintes definições:

I. Variáveis Confundidoras: são variáveis que afetam tanto a variável de exposição quanto o desfecho, podendo criar uma associação espúria ou ocultar uma associação verdadeira entre eles.

II. Variáveis Colisoras: Quando duas variáveis independentes influenciam uma terceira variável, que é o colisor, o controle estatístico deste pode induzir uma associação artificial entre as variáveis que de outra forma seriam independentes.

III. Variáveis de Mediação: Uma variável mediadora é aquela que transmite o efeito de uma variável de exposição para a variável de desfecho.

Dado um DAG em que há uma trajetória causal da variável A para B, e de B para C, e também uma trajetória direta de A para C. Se um pesquisador está interessado em estabelecer a relação causal entre A e C, controlando B, qual seria o papel de B nessa análise?

A) B é um confundidor e deve ser controlado para estabelecer a relação causal entre A e C.
B) B é um colisor e seu controle pode induzir uma associação artificial entre A e C.
C) B é uma variável de mediação e seu controle pode bloquear parte do efeito causal de A sobre C.
D) B é uma variável independente e o seu controle não altera a relação causal entre A e C.
E) B é uma variável colidora e deve ser controlada para revelar a relação causal verdadeira entre A e C.

",C,"

A alternativa correta é a letra C. B atua como uma variável de mediação entre A e C, onde o efeito de A em C passa por B. Controlar B significa que o pesquisador está bloqueando o caminho mediador, o que poderia impedir a observação do efeito total de A em C, incluindo o efeito indireto através de B. O conceito de mediação é essencial em análises causais para compreender os mecanismos pelos quais uma exposição afeta o desfecho. A alternativa A está incorreta porque um confundidor afeta tanto a exposição quanto o desfecho, mas não faz parte do caminho causal entre eles. A alternativa B está incorreta porque o colisor é uma variável que é afetada por duas outras variáveis, e controlá-la poderia criar uma associação espúria; que não é o caso apresentado na pergunta. A alternativa D está incorreta porque B não é independente neste contexto, já que está no caminho entre A e C. A alternativa E também está incorreta pois confunde as definições de colisor e mediador.",3085055
