topico,tema,enunciado,resposta_certa,explicacao,resposta_user,id
tópico 1,"Banco de dados relacional: SQL Server, PostgreSQL, MySQL","Questão:
Um administrador de banco de dados precisa melhorar o desempenho das consultas em um sistema que utiliza o MySQL. Ele observa que muitas das consultas críticas executam varreduras completas em tabelas grandes, o que é ineficiente. Ele decide implementar índices para acelerar estas consultas.

Considerando o cenário descrito, qual das seguintes estratégias é a mais eficiente para a criação de índices no MySQL, visando a otimização de consultas em tabelas com grandes volumes de dados?

A) Criar índices para todas as colunas das tabelas, pois isso garantirá que todas as consultas sejam rápidas.

B) Utilizar o comando EXPLAIN em consultas representativas para identificar quais colunas se beneficiariam mais da indexação.

C) Eliminar completamente os índices das tabelas grandes, pois índices introduzem overhead de manutenção e podem desacelerar as inserções e atualizações.

D) Criar um índice único e composto que inclua todas as colunas usadas nas consultas, minimizando o número de índices a serem mantidos.

E) Priorizar a criação de índices em colunas que possuem chave estrangeira, independentemente do seu uso em consultas frequentes.

",B,"

Explicação dos itens:

A) Criar índices para todas as colunas das tabelas pode ser contraprodutivo, pois isso adiciona um overhead significativo de manutenção dos índices durante as operações de inserção, atualização e exclusão, sem necessariamente melhorar o desempenho das consultas.

B) Utilizar o comando EXPLAIN é uma prática recomendada para entender como as consultas são executadas e quais partes delas podem ser otimizadas com índices. Ao identificar as colunas mais utilizadas nas operações de busca, é possível criar índices mais eficientes e direcionados.

C) Eliminar índices pode piorar o desempenho de leitura, já que os índices são fundamentais para acelerar as buscas em tabelas grandes. Eles devem ser usados com sabedoria, mas não eliminados por completo.

D) Um índice único e composto pode ser útil em certas situações, mas ele só será eficiente se as consultas utilizarem todas as colunas do índice ou uma sequência prefixada dele. Ele nem sempre é a melhor opção, especialmente se as consultas variarem muito nas colunas que utilizam.

E) Priorizar a criação de índices em colunas com chave estrangeira é importante para operações de JOIN, mas se essas colunas não são frequentemente consultadas, elas podem não ser as melhores candidatas para indexação em termos de otimização de consultas. A análise deve ser baseada no uso efetivo dessas colunas em operações críticas.",A,739371
tópico 1,"Banco de dados relacional: SQL Server, PostgreSQL, MySQL","Questão: Considerando os sistemas de gerenciamento de banco de dados relacionais (SGBDR) SQL Server, PostgreSQL e MySQL, qual das seguintes opções representa um recurso ou funcionalidade que é exclusivo ao SQL Server em comparação com os outros dois SGBDRs?

A) Capacidade de realizar transações ACID (Atomicidade, Consistência, Isolamento, Durabilidade).
B) Utilização de stored procedures para encapsular a lógica de negócio.
C) Disponibilidade de um sistema de replicação para distribuir dados entre diferentes bases de dados.
D) Uso de índices de texto completo para melhorar a performance de consultas baseadas em texto.
E) Suporte nativo para a linguagem de modelagem de dados XML e a capacidade de armazenar XML como um tipo de dado.

",E,"

Explicação dos itens:

A) Incorrecto. Transações ACID são um princípio fundamental de qualquer SGBD relacional e estão presentes tanto no SQL Server quanto no PostgreSQL e MySQL.

B) Incorrecto. Stored procedures são uma funcionalidade comum entre os SGBDRs e estão presentes em SQL Server, PostgreSQL e MySQL, permitindo a encapsulação da lógica de negócio diretamente no banco de dados.

C) Incorrecto. Sistemas de replicação são oferecidos por quase todos os grandes SGBDRs modernos, incluindo o SQL Server, PostgreSQL e MySQL, facilitando a distribuição e sincronização de dados entre diferentes servidores ou locais.

D) Incorrecto. O suporte para índices de texto completo é uma característica presente em muitos SGBDRs, inclusive em SQL Server, PostgreSQL e MySQL, para otimizar a performance de buscas de texto.

E) Correto. O suporte nativo para XML, incluindo a habilidade de armazenar, consultar e manipular dados XML diretamente dentro do banco de dados usando tipos de dados específicos, é uma característica distintiva do SQL Server em relação ao PostgreSQL e MySQL. Enquanto esses últimos SGBDRs oferecem suporte a XML de várias maneiras, o SQL Server tem uma integração mais profunda e robusta com XML, incluindo a capacidade de indexação e consultas eficientes usando XQuery.",D,3760240
tópico 5,Técnicas de classificação: Naive Bayes; Regressão logística; Redes neurais artificiais; Árvores de decisão (algoritmos ID3 e C4.5); Florestas aleatórias (random forest); Máquinas de vetores de suporte (SVM – support vector machines); K vizinhos mais próximos (KNN – K-nearest neighbours),"Questão: Uma empresa de telecomunicações deseja criar um modelo preditivo para identificar clientes com alto risco de churn, ou seja, aqueles que têm alta probabilidade de cancelarem seus serviços. A empresa possui um grande volume de dados históricos, incluindo informações demográficas, uso de serviços, padrões de pagamento e dados de interações de serviço ao cliente. Considerando a natureza do problema e o tipo de dados disponíveis, qual entre as técnicas de classificação listadas seria, em princípio, a mais adequada para construir esse modelo e por quê?

A) Naive Bayes, pois é altamente eficiente em lidar com grandes volumes de dados e assume independência condicional entre as características.
B) Regressão logística, dado que trata-se de um problema de classificação binária e essa técnica é útil para estimar probabilidades.
C) Redes neurais artificiais, por sua capacidade de aprender padrões complexos e não-lineares nos dados.
D) Árvores de decisão (algoritmos ID3 e C4.5), pois são transparentes na tomada de decisão e lidam bem com dados categóricos e contínuos.
E) Florestas aleatórias (random forest), pois é um ensemble de árvores de decisão, o que lhe confere alta precisão e habilidade para lidar com sobreajuste.
F) Máquinas de vetores de suporte (SVM – support vector machines), uma vez que são eficazes em espaços de alta dimensão e quando há uma clara margem de separação entre classes.
G) K vizinhos mais próximos (KNN – K-nearest neighbours), por ser um método simples e eficaz que não requer grandes ajustes nos parâmetros e é baseado na similaridade entre os exemplos.

",E,"

A alternativa E é a correta. A técnica de Florestas Aleatórias (random forest) é particularmente adequada para o cenário descrito por ser um método de ensemble que combina várias árvores de decisão para produzir uma previsão mais estável e menos propensa ao sobreajuste. É capaz de lidar com um grande número de características e diferentes tipos de dados, o que a torna uma escolha robusta para o problema de churn em telecomunicações.

Explicação dos itens:
A) Naive Bayes é uma boa escolha para grandes conjuntos de dados, mas a suposição de independência entre as características pode ser uma limitação significativa no mundo real, onde as características muitas vezes são interdependentes.
B) Regressão logística é uma técnica poderosa para problemas de classificação binária, mas pode não capturar relações complexas tão bem quanto métodos de ensemble como as florestas aleatórias.
C) Redes neurais artificiais podem ser boas em detectar padrões complexos, mas exigem um cuidado maior na seleção de arquitetura e parâmetros e podem ser opacas na interpretação dos resultados.
D) Árvores de decisão são fáceis de entender e interpretar, mas individualmente podem ser menos precisas e mais sujeitas a sobreajuste do que uma combinação de muitas delas, como as florestas aleatórias.
F) SVM é eficaz quando os dados de classes são bem separados e em espaços de alta dimensão, mas pode ser computacionalmente intensivo e menos eficiente ao lidar com um grande número de amostras.
G) KNN é um método intuitivo e fácil de implementar, mas à medida que o tamanho do conjunto de dados aumenta, o tempo de computação necessário para classificar novas instâncias cresce substancialmente, o que pode ser um desafio na prática operacional de uma empresa de telecomunicações. Além disso, o KNN pode ser sensível a características não relevantes e a dados ruidosos.",C,3729591
tópico 4,Medidas de tendência central e dispersão e correlação,"Questão:

Na análise estatística de dados, é comum o uso de medidas de tendência central e de dispersão para resumir e analisar conjuntos de dados. Uma pesquisa de mercado foi realizada para compreender o perfil de consumo de um determinado produto. Os dados coletados sobre a idade dos consumidores são os seguintes: 22, 25, 27, 27, 28, 28, 29, 30, 30, 30, 31, 32, 33, 35, 35.

Com base nesses dados, responda: Qual das seguintes alternativas indica corretamente a média de idade dos consumidores, a mediana e o coeficiente de correlação de Pearson entre a idade dos consumidores e a quantidade consumida, assumindo que a quantidade consumida aumenta uniformemente com a idade dos consumidores?

A) Média: 29 anos, Mediana: 29 anos, Coeficiente de Correlação: 1.
B) Média: 29 anos, Mediana: 30 anos, Coeficiente de Correlação: 0.
C) Média: 28 anos, Mediana: 30 anos, Coeficiente de Correlação: não pode ser determinado com os dados fornecidos.
D) Média: 30 anos, Mediana: 29 anos, Coeficiente de Correlação: -1.
E) Média: 28 anos, Mediana: 28 anos, Coeficiente de Correlação: não pode ser determinado com os dados fornecidos.

",C,"

Explicação dos itens:

A) A média calculada é incorreta. Ela é a soma de todos os valores dividida pela quantidade de valores, que resulta em 29,6 anos, arredondando para 30 anos. Mediana é o valor central de um conjunto de dados ordenados, que neste caso é 30 anos, pois é o oitavo valor na sequência ordenada. O coeficiente de correlação de Pearson requer dois conjuntos de dados (em pares), que não foram fornecidos na íntegra.

B) Novamente, a média é calculada incorretamente, e o coeficiente de correlação de Pearson não pode ser 0 se a quantidade consumida aumenta uniformemente com a idade.

C) A média de idade dos consumidores é de fato 29,6 anos, que ao ser arredondada pode ser apresentada como 30 anos, e a mediana é 30 anos. O coeficiente de correlação de Pearson entre a idade dos consumidores e a quantidade consumida não pode ser determinado apenas com os dados da idade, pois são necessários os dados correspondentes da quantidade consumida para calcular a correlação.

D) A média e a mediana estão incorretas, e o coeficiente de correlação de Pearson de -1 indicaria uma correlação perfeitamente negativa, o que contradiz a informação de que a quantidade consumida aumenta com a idade.

E) A média é incorreta, e a mediana não está de acordo com os dados fornecidos. Além disso, o coeficiente não pode ser calculado sem os dados correspondentes de quantidade consumida.",C,1339126
tópico 3,Linguagem de programação Scala,"Questão: 
Considerando os paradigmas de programação funcional e orientada a objetos, pode-se afirmar que a linguagem Scala foi projetada para integrar características de ambos os paradigmas. Em relação às funcionalidades e característica da linguagem Scala, analise as seguintes afirmativas:

I. Scala permite a definição de variáveis imutáveis, utilizando a palavra-chave `val`, que pode ser alterada durante o tempo de execução, caracterizando um comportamento mutável.
II. A linguagem permite a implementação de métodos de alta ordem, que podem receber funções como parâmetros ou retornar outras funções como resultado.
III. Traits em Scala podem ser comparados a interfaces em Java, mas com a capacidade de conter implementações de métodos, tornando-os similares a classes abstratas.
IV. Pattern matching em Scala é uma ferramenta poderosa que permite inspecionar e decompor dados de forma concisa e expressiva, eliminando a necessidade de instruções condicionais encadeadas como `if` e `else`.

Assinale a opção que contém apenas as afirmativas corretas:

A) I e II
B) II e III
C) II, III e IV
D) I, II e IV
E) Todas as afirmativas são corretas.

",C,"

 Item I está incorreto porque a palavra-chave `val` em Scala é usada para declarar uma variável imutável que não pode ser alterada após a sua inicialização.
 Item II está correto; métodos de alta ordem são uma funcionalidade chave das linguagens funcionais e são plenamente suportados em Scala.
 Item III está correto; Scala possui Traits, que são como interfaces com a capacidade de conter código implementado.
 Item IV está correto; o pattern matching em Scala é uma alternativa poderosa às instruções condicionais, proporcionando uma forma mais legível e funcional de lidar com diversos casos.",B,2601899
tópico 5,"Técnicas de agrupamento: Agrupamento por partição, por densidade e hierárquico","Questão: Em análise de dados, técnicas de agrupamento são comumente utilizadas para categorizar um conjunto de dados em subgrupos com características similares. Com base na descrição de cada técnica de agrupamento abaixo, identifique a que ela se refere:

I. Esta técnica de agrupamento baseia-se em dividir o conjunto de dados em um número específico de grupos, geralmente determinado a priori. O método mais conhecido que utiliza essa abordagem tenta minimizar a soma das distâncias quadradas entre os pontos e o centro do grupo ao qual foram atribuídos.

II. Nesta abordagem de agrupamento, os grupos são definidos pelas áreas de maior densidade de pontos no espaço de dados, sendo capazes de detectar grupos de formas irregulares. O método é particularmente útil para identificar outliers e dados que não se enquadram em um padrão de agrupamento tradicional.

III. A técnica em questão organiza os dados em uma estrutura hierárquica de grupos, que pode ser representada em um diagrama em árvore chamado dendrograma. Cada grupo no nível mais baixo da hierarquia se funde com outros grupos em níveis superiores com base em sua similaridade.

As técnicas correspondentes são, respectivamente:

A) Hierárquico, por densidade e por partição.
B) Por partição, hierárquico e por densidade.
C) Por partição, por densidade e hierárquico.
D) Por densidade, por partição e hierárquico.
E) Hierárquico, por partição e por densidade.

",C,"

Explicação dos itens:

I. A técnica de agrupamento por partição descrita é o K-means, que aloca pontos em k grupos visando minimizar a variância dentro dos clusters.

II. A descrição corresponde à técnica de agrupamento por densidade, e um método popular que segue essa abordagem é o DBSCAN (Density-Based Spatial Clustering of Applications with Noise), que identifica regiões de alta densidade que são separadas por regiões de baixa densidade.

III. O método hierárquico organiza os dados em uma hierarquia de clusters e é bem representado pelo dendrograma. Existem duas abordagens principais: agregativa (bottom-up) e divisiva (top-down).

Portanto, a alternativa correta é a C, que associa cada técnica descrita à sua abordagem correspondente.",C,4710490
tópico 0,"Ingestão de dados estruturados, semiestruturados e não estruturados","Questão: Na área de Big Data, a ingestão de dados é a etapa inicial fundamental para a construção de uma plataforma analítica. As fontes de dados podem ser categorizadas em estruturadas, semiestruturadas e não estruturadas, cada qual com seus próprios desafios e características no processo de coleta e armazenamento. Qual das opções abaixo apresenta corretamente uma característica intrínseca a cada tipo de dado mencionado?

A) Dados estruturados são predominantemente coletados a partir de arquivos de texto puro, enquanto dados semiestruturados e não estruturados são facilmente identificáveis e armazenados em bancos de dados relacionais.

B) Dados semiestruturados como JSON e XML possuem algum nível de organização hierárquica que facilita a interpretação, embora não sigam um esquema rígido como é comum em bancos de dados relacionais que armazenam dados estruturados.

C) Dados não estruturados são tipicamente mais fáceis de analisar e processar do que dados estruturados devido à sua natureza uniforme e altamente organizada, como é o caso de imagens e arquivos de vídeo.

D) A ingestão de dados estruturados é mais desafiadora e onerosa do que a de dados semiestruturados e não estruturados, pois exige a construção de esquemas de dados personalizados para cada fonte.

E) Dados não estruturados são geralmente coletados através de APIs de redes sociais e feeds de notícias, o que os torna altamente estruturados e de fácil armazenamento e análise em sistemas de Big Data.

",B," 
Explicação dos itens:

A) Incorreto. Dados estruturados são normalmente armazenados em bancos de dados relacionais ou qualquer sistema que defina claramente esquema, tipos e relações entre os dados. Arquivos de texto podem conter qualquer tipo de dados, não sendo específicos para dados estruturados.

B) Correto. Dados semiestruturados como JSON e XML têm estrutura, mas não são tão rígidos quanto os dados estruturados. Eles podem não se encaixar em tabelas tradicionais tão facilmente, mas a existência de uma organização hierárquica facilita a interpretação e o processamento.

C) Incorreto. Dados não estruturados não têm uma forma definida ou organizada e são mais desafiadores de analisar e processar. Exemplos de dados não estruturados são imagens, vídeos, e-mails e documentos de texto.

D) Incorreto. A ingestão de dados estruturados geralmente é mais direta porque o esquema é conhecido e pode ser projetado para se adequar aos dados. Dados semiestruturados e não estruturados podem ser mais desafiadores devido à falta de estrutura ou à variabilidade na estrutura.

E) Incorreto. Dados não estruturados, como os coletados de redes sociais e feeds de notícias, são complexos e variáveis, exigindo análise e pré-processamento antes do armazenamento e análise em sistemas de Big Data. Eles não são naturalmente altamente estruturados como sugere a opção.",B,3561520
tópico 5,"Métricas de similaridade textual - similaridade do cosseno, distância euclidiana, similaridade de Jaccard, distância de Manhattan e coeficiente de Dice","Questão: Em sistemas de informação, as técnicas de processamento de linguagem natural (PLN) e recuperação de informação (RI) frequentemente utilizam métricas de similaridade textual para comparar documentos ou sentenças e fornecer resultados relevantes aos usuários. Dentre as métricas abaixo, qual NÃO é uma métrica baseada estritamente na contagem de termos compartilhados entre dois conjuntos de dados textuais?

A) Similaridade do Cosseno
B) Similaridade de Jaccard
C) Distância de Manhattan
D) Distância Euclidiana
E) Coeficiente de Dice

",C," 

Explicação:

A) Similaridade do Cosseno - Calcula o cosseno do ângulo entre dois vetores em um espaço vetorial, sendo amplamente utilizado para medir a similaridade entre documentos no PLN. Utiliza contagem de termos através de vetores de frequência de palavras.

B) Similaridade de Jaccard - Mede a similaridade entre conjuntos finitos e é definida como o tamanho da interseção dividido pelo tamanho da união dos conjuntos de amostras. Baseia-se estritamente na contagem de termos compartilhados.

C) Distância de Manhattan - Calcula a distância entre dois pontos em um espaço de grade baseada na soma das diferenças absolutas de suas coordenadas. Não é estritamente baseada na contagem de termos compartilhados, pois leva em conta a distância absoluta nas dimensões do espaço vetorial que representa os textos.

D) Distância Euclidiana - Determina a distância ""direta"" entre dois pontos em um espaço euclidiano, de acordo com o teorema de Pitágoras. Como a Distância de Manhattan, não depende exclusivamente da contagem de termos compartilhados.

E) Coeficiente de Dice - Mede a sobreposição entre dois conjuntos de amostras. Similar ao coeficiente de Jaccard, compara a quantidade de termos compartilhados em relação ao tamanho de cada conjunto.

Portanto, a resposta correta é a opção C, pois a Distância de Manhattan baseia-se em informações adicionais à simples contagem de termos compartilhados, considerando a estrutura espacial dos dados.",C,1344407
tópico 3,"Manipulação e tabulação de dados (numpy, pandas, tidyr,verse, data.table)","Questão: Em uma análise de dados utilizando a biblioteca Pandas no Python, um cientista de dados precisa manipular um grande DataFrame chamado `vendas_df`, que contém informações sobre vendas de produtos em diferentes lojas de uma rede varejista. Uma das colunas chama-se `data_venda` e está no formato `string` seguindo o padrão ""aaaa-mm-dd"". O cientista de dados deseja criar duas colunas adicionais, uma contendo apenas o ano e outra apenas o mês extraídos da coluna `data_venda`. Qual das seguintes opções de código realizaria essa tarefa corretamente?

A) 
```python
vendas_df['ano'] = vendas_df['data_venda'].apply(lambda x: x.split('-')[0])
vendas_df['mes'] = vendas_df['data_venda'].apply(lambda x: x.split('-')[1])
```

B) 
```python
vendas_df['ano'], vendas_df['mes'] = vendas_df['data_venda'].str[:4], vendas_df['data_venda'].str[5:7]
```

C) 
```python
vendas_df[['ano', 'mes']] = vendas_df['data_venda'].str.extract(r'(\d{4})-(\d{2})')
```
 
D) 
```python
vendas_df['ano'] = pd.DatetimeIndex(vendas_df['data_venda']).year
vendas_df['mes'] = pd.DatetimeIndex(vendas_df['data_venda']).month
```

E) 
```python
vendas_df['data_venda'] = pd.to_datetime(vendas_df['data_venda'])
vendas_df.assign(ano=vendas_df['data_venda'].dt.year, mes=vendas_df['data_venda'].dt.month)
```

",D,"

Explicação dos itens:

A) Este item usa a função `apply` com uma expressão lambda para dividir a string e extrair ano e mês. Embora funcione, não é a solução mais eficiente ou apropriada para datasets grandes devido ao desempenho do `apply`.

B) Este item extrai as substrings diretamente pelos índices das strings. Apesar de rápido, é menos legível e pode causar erros se o formato da data estiver inconsistente.

C) A função `extract` com uma expressão regular também é capaz de separar ano e mês corretamente. No entanto, ela retorna um DataFrame novo com as colunas especificadas, e não atribui as colunas diretamente ao DataFrame original.

D) O uso da classe `DatetimeIndex` é uma abordagem eficiente e recomendada, já que é capaz de converter strings em objetos datetime e depois acessar os atributos `year` e `month`. Esta é a opção correta, pois realiza a tarefa de maneira eficiente e direta.

E) Similar ao item D, converte a coluna `data_venda` para datetime e em seguida utiliza o método `assign` para adicionar as colunas 'ano' e 'mes'. No entanto, `assign` retorna um novo DataFrame e não modifica o original. Também faltou a reatribuição para que as alterações fossem salvas em `vendas_df`.",A,3796627
tópico 5,Ajuste de modelos dentro e fora de amostra e overfitting,"Questão: 

No desenvolvimento de modelos estatísticos e algoritmos de aprendizagem de máquina, a validação e a generalização dos resultados são aspectos fundamentais para garantir a aplicabilidade prática dos modelos criados. Nesse contexto, considere as seguintes afirmativas em relação ao ajuste de modelos dentro e fora da amostra e ao fenômeno de overfitting:

I. O ajuste de modelos ""dentro da amostra"" refere-se ao desempenho do modelo em prever ou descrever os dados que foram utilizados para treiná-lo, enquanto o ajuste ""fora da amostra"" é uma medida da capacidade de generalização do modelo para dados não vistos anteriormente.

II. Overfitting ocorre quando um modelo se ajusta demasiadamente aos dados de treino, capturando não apenas a estrutura subjacente dos dados, mas também o ruído, o que pode prejudicar seu desempenho em novos dados.

III. Modelos mais complexos, com um número elevado de parâmetros ou flexibilidade, são menos propensos ao overfitting, uma vez que podem capturar melhor a variabilidade nos dados.

IV. Técnicas como validação cruzada e regularização são comumente utilizadas para mitigar o risco de overfitting e melhorar a generalização dos modelos estatísticos e de aprendizagem de máquina.

Qual das seguintes opções melhor representa a veracidade das afirmativas acima?

A) Apenas I e II estão corretas.

B) Apenas I, II e IV estão corretas.

C) Apenas III está correta.

D) Todas estão corretas.

E) Nenhuma está correta.
",B,"
Explicação dos itens:

I. Correto. Afirmativa correta, pois o ajuste ""dentro da amostra"" de fato refere-se ao desempenho do modelo nos dados de treino, e o ajuste ""fora da amostra"" à capacidade de generalização para novos dados.

II. Correto. Overfitting é exatamente o fenômeno descrito, e é uma preocupação central no desenvolvimento de modelos preditivos, pois pode levar a previsões errôneas quando o modelo é aplicado a novos dados.

III. Incorreto. Esta afirmativa está incorreta porque geralmente é o contrário: modelos mais complexos tendem a estar mais propensos ao overfitting, pois são capazes de capturar detalhes excessivos dos dados de treino, incluindo o ruído, o que pode não generalizar bem para novos dados.

IV. Correto. Técnicas como validação cruzada e regularização são de fato utilizadas para prevenir overfitting e melhorar a capacidade de generalização do modelo, ajustando-o de modo que não seja nem muito simples (underfitting) nem excessivamente complexo (overfitting).

Portanto, a opção B é a correta, visto que III é a única afirmativa incorreta entre as apresentadas.",B,2696149
tópico 0,"Ingestão de dados estruturados, semiestruturados e não estruturados","Questão: Em um cenário corporativo, o Big Data é um ativo valioso que compreende diversos tipos de dados, incluindo estruturados, semiestruturados e não estruturados. A ingestão de dados refere-se ao processo de obtenção e importação de dados para um sistema onde eles podem ser armazenados e analisados. A respeito das características desses tipos de dados na ingestão para processamento analítico, analise as seguintes afirmações:

I. Dados estruturados são aqueles que seguem um modelo de dados predefinido e geralmente são armazenados em sistemas de gerenciamento de banco de dados relacional (RDBMS), facilitando o processo de análise e consulta usando linguagens como SQL.

II. Dados semiestruturados têm algum nível organizacional que permite a separação dos elementos, como é o caso dos arquivos XML e JSON, mas não seguem um esquema rígido como os dados estruturados, o que pode requerer ferramentas adicionais de transformação e mapeamento na ingestão de dados.

III. Dados não estruturados são completamente desprovidos de estrutura e impossibilitam qualquer forma de análise sem um prévio processo de categorização e etiquetagem, sendo comumente encontrados em e-mails, vídeos e conjuntos de dados de mídias sociais.

Está(ão) correta(s) a(s) afirmativa(s):

A) Apenas I e II.
B) Apenas II e III.
C) Apenas I e III.
D) I, II e III.

",A,"

Explicação dos itens:

I. Correta. Dados estruturados são facilmente organizáveis em tabelas e colunas e são acomodados em um banco de dados relacional, permitindo consultas eficientes por meio de SQL, o que foi corretamente afirmado no enunciado.

II. Correta. Dados semiestruturados, como os arquivos XML e JSON, possuem uma estrutura flexível, não são tão rigorosos quanto aos esquemas como os dados estruturados, mas ainda assim possuem uma organização que permite sua interpretação, necessitando de ferramentas para parsing e processamento na ingestão.

III. Incorreta. A afirmativa é enganosa ao insinuar que dados não estruturados não permitem qualquer análise sem categorização prévia. Na realidade, os dados não estruturados podem ser analisados, mas normalmente requerem técnicas e ferramentas mais complexas, como o processamento de linguagem natural (PLN) para texto ou algoritmos de aprendizado de máquina para imagens e vídeos. Não são ""completamente desprovidos de estrutura"", mas sim não seguem um modelo de dados rígido ou fácil de categorizar.",B,2893781
tópico 1,Banco de dados NoSQL,"Questão: Considerando os diferentes tipos de bancos de dados NoSQL e suas características, avalie as afirmativas abaixo e marque a opção que contém a afirmação correta:

I. Bancos de dados orientados a documentos armazenam e recuperam documentos, que podem ser XML, JSON, BSON, entre outros, e são ideais para armazenar, recuperar e gerenciar informações hierárquicas.

II. Bancos de dados em grafos são indicados para sistemas que não exigem relações complexas entre os dados, uma vez que não são otimizados para algoritmos que percorrem relações.

III. Bancos de dados de chave-valor permitem uma estrutura em que cada chave associativa possui um valor específico, mas eles não são recomendados para cenários onde a velocidade de leitura e escrita são críticas.

IV. Bancos de dados column-family armazenam dados em linhas e colunas, sendo uma boa escolha para queries complexas e agregações pesadas, tipicamente utilizados em sistemas de processamento de transações online (OLTP).

A alternativa que contém a afirmação correta é:

A) I
B) II
C) III
D) IV

",A," 
I. Correta. Bancos de dados orientados a documentos são projetados para armazenar, recuperar e gerenciar informações hierárquicas de forma eficiente, utilizando formatos como XML, JSON e BSON.

II. Incorreta. Bancos de dados em grafos são, na verdade, otimizados para sistemas que necessitam de relações complexas entre os dados, como redes sociais e sistemas de recomendação, uma vez que eles são ideais para algoritmos que percorrem relações.

III. Incorreta. Bancos de dados de chave-valor são recomendados para cenários em que a velocidade de leitura e escrita são muito importantes, devido à sua simples estrutura e alta eficiência em operações de acesso a dados.

IV. Incorreta. Bancos de dados do tipo column-family são projetados para lidar bem com grandes quantidades de dados distribuídos e são otimizados para leituras e escritas rápidas, sendo mais utilizados em sistemas de processamento analítico online (OLAP) do que em OLTP.",A,6226410
