,topico,tema,enunciado,resposta_certa,explicacao,id
211,tópico 1,"Banco de dados relacional: SQL Server, PostgreSQL, MySQL","Questão:
A manipulação de dados em bancos relacionais é fundamental para diversas aplicações empresariais, onde a escolha da tecnologia de banco de dados pode ser determinante para o desempenho e a manutenção dos sistemas de informações. Considere que uma empresa utiliza três sistemas de gerenciamento de bancos de dados diferentes, SQL Server, PostgreSQL e MySQL, para suportar diferentes módulos de um sistema integrado.

Em relação às características de transações ACID (Atomicidade, Consistência, Isolamento e Durabilidade) e recursos de particionamento de tabelas, julgue os seguintes itens:

I. SQL Server e MySQL suportam o particionamento de tabela por meio de 'PARTITION BY', o que facilita o gerenciamento e melhora o desempenho de consultas em grandes volumes de dados.

II. PostgreSQL não oferece suporte a transações ACID, característica presente apenas no SQL Server e MySQL.

III. Partition pruning, que é o processo pelo qual o sistema de gerenciamento de banco de dados evita a leitura de partições desnecessárias durante uma consulta, é um recurso presente em todas as três tecnologias mencionadas.

Assinale a opção que indica as afirmativas corretas:

A) Apenas I é verdadeira.
B) Apenas II é verdadeira.
C) Apenas III é verdadeira.
D) I e III são verdadeiras.
E) II e III são verdadeiras.

",C,"

Explicação dos itens:

I. Essa afirmação é falsa porque o MySQL suporta particionamento de tabelas usando a cláusula 'PARTITION BY', mas o SQL Server usa outra sintaxe e método para particionamento, chamado de partitioned tables e indexes. 

II. A afirmação é falsa porque tanto o PostgreSQL quanto o SQL Server e o MySQL oferecem suporte completo a transações ACID. Isso é uma característica de quase todos os modernos sistemas de gerenciamento de banco de dados relacionais.

III. Essa afirmação é verdadeira. O partition pruning é um recurso presente no SQL Server, PostgreSQL e MySQL, o que permite o aumento de desempenho em consultas que podem ser restritas a um subconjunto das partições de uma tabela.",634007
236,tópico 6, Testes de hipóteses: teste-z; teste-t; valorp; testes para uma amostra; testes de comparação de duas amostras; teste de normalidade (chi square); e intervalos de confiança.,"Questão: Uma pesquisa foi realizada para investigar a eficácia de um novo medicamento para reduzir a pressão arterial em pacientes diagnosticados com hipertensão arterial. Uma amostra de 40 pacientes foi selecionada, e a redução média da pressão arterial após o uso do medicamento foi de 5 mmHg, com um desvio padrão de 10 mmHg. A pressão arterial dos pacientes antes do tratamento tinha média conhecida de 150 mmHg. O pesquisador deseja testar se a redução observada na amostra é estatisticamente significativa em um nível de significância de 5% (α = 0,05).

Para realizar o teste de hipóteses apropriado, qual dos seguintes testes deve ser usado?

A) Teste-z para uma amostra
B) Teste-t para duas amostras independentes
C) Valor-p para amostras emparelhadas
D) Teste de normalidade (chi-square)
E) Teste-t para uma amostra

",E," 

Alternativa A (Teste-z para uma amostra) não é a correta, pois apesar de ser um teste aplicável quando conhecemos a média populacional e temos grande amostra, o teste-z é recomendado apenas quando a variância populacional é conhecida, o que não é o caso.

Alternativa B (Teste-t para duas amostras independentes) não é adequada, porque estamos interessados em comparar a pressão antes e depois do tratamento no mesmo grupo de pacientes, e não entre dois grupos independentes.

Alternativa C (Valor-p para amostras emparelhadas) é um conceito incorrelatamente expresso. O valor-p é uma métrica que resulta de realizar o teste de hipótese e não um teste por si só.

Alternativa D (Teste de normalidade - chi-square) não é o correto, pois seu uso é para verificar a aderência de uma distribuição a uma distribuição teórica (normal, nesse caso), e não para testar a diferença de médias.

Alternativa E (Teste-t para uma amostra) é a correta. A média populacional antes do tratamento é conhecida, mas a variância populacional não é. Utiliza-se o teste-t quando a variância populacional é desconhecida, mesmo com uma amostra grande (n=40 é suficientemente grande para que a distribuição t tenda para a distribuição normal). O teste verifica se a média de redução observada na amostra (5 mmHg) é significativamente diferente da média populacional (0 mmHg, assumindo que não houve redução) a um nível de significância de 5%.",3245619
239,tópico 6,Tipos de viés no processo gerador dos dados e soluções: Sampling bias; Selection bias; Attrition bias; Reporting bias; Measurement bias.,"Questão: Em estudos observacionais e experimentais, o viés pode comprometer a validade dos resultados e as conclusões tiradas a partir de dados coletados. Qual dos seguintes tipos de viés ocorre quando certos grupos são sub-representados ou super-representados devido à maneira como as amostras são coletadas, e como ele pode ser mitigado?

A) Sampling bias; mitigado pela utilização de estratificação na seleção da amostra.
B) Selection bias; mitigado pela inclusão de todos os elementos do população alvo.
C) Attrition bias; mitigado pela garantia de que todos os participantes sejam monitorados por igual.
D) Reporting bias; mitigado pela implementação de medidas para garantir que todos os eventos sejam relatados.
E) Measurement bias; mitigado pelo treinamento rigoroso dos pesquisadores na coleta de dados.

",A," 

Explicação dos itens:

A) Correto. Sampling bias, também conhecido como viés de amostragem, ocorre quando algumas partes da população alvo têm menos probabilidade de serem incluídas na amostra do que outras. Isso pode ser mitigado pela utilização de técnicas de estratificação, que garantem que diferentes subgrupos da população sejam proporcionalmente representados na amostra.

B) Incorreto. Selection bias, ou viés de seleção, ocorre quando os indivíduos selecionados para participar de um estudo não são representativos de toda a população alvo, mas este viés normalmente é resultado de como os participantes são escolhidos para o estudo, não pela sub ou super-representação devido a técnicas de amostragem.

C) Incorreto. Attrition bias, ou viés de desistência, acontece em estudos longitudinais quando há uma perda diferencial de participantes ao longo do tempo, o que pode afetar a representatividade da amostra final. A mitigação envolve procedimentos para minimizar a desistência e garantir que o acompanhamento seja igual para todos os participantes.

D) Incorreto. Reporting bias, ou viés de relato, ocorre quando determinados tipos de eventos ou resultados são sistematicamente sub ou super-relatados. Medidas para garantir a adequada notificação de todos os eventos ajudam a mitigar esse viés.

E) Incorreto. Measurement bias, ou viés de medição, é resultante de erros sistemáticos na maneira como as informações são coletadas ou medidas. O treinamento dos pesquisadores para coletar dados de modo consistente e rigoroso é um método para mitigar esse tipo de viés.",5701428
240,tópico 1,Banco de dados NoSQL,"Questão: Considerando o modelo NoSQL, que tem se popularizado no contexto de Big Data e aplicações que demandam escalabilidade horizontal e flexibilidade de esquema, analise as seguintes afirmações referentes às suas características e tipos:

I. Bancos de dados NoSQL do tipo chave-valor armazenam os dados em um esquema que não requer uma estrutura fixa, permitindo que cada entrada tenha um conjunto único de chaves e valores associados.
II. Bancos de dados orientados a documento, como o MongoDB, são exemplos de NoSQL que suportam indexação e buscas complexas, com a vantagem adicional de armazenar os dados de forma semelhante aos documentos JSON, facilitando o trabalho com APIs e serviços web.
III. Sistemas NoSQL de bancos de dados em colunas, a exemplo do Cassandra, são uma boa escolha para aplicações que precisam realizar agregações complexas e joins frequentes, similares aos bancos de dados relacionais.
IV. Os bancos de dados orientados a grafos, como o Neo4j, não são recomendados para aplicativos que necessitam de relacionamentos entre os dados, pois essa categoria de NoSQL não suporta operações que envolvem a análise de interconexões entre os dados.

Qual das afirmações acima está INCORRETA?

A) I e II
B) II e III
C) III e IV
D) Apenas IV
E) Apenas III

",C,"

Explicações dos itens:

I. Esta afirmação é verdadeira. Os sistemas chave-valor, como o Redis, realmente permitem esquemas flexíveis, o que é uma característica notável dos bancos de dados NoSQL.

II. Esta afirmação é verdadeira. Bancos de dados orientados a documentos são projetados para armazenar, recuperar e gerenciar estruturas de documentos semiestruturados, e o MongoDB é um exemplo clássico de suporte a indexação e buscas complexas.

III. Esta afirmação é falsa. Bancos de dados em colunas são otimizados para leituras e escritas rápidas de grandes volumes de dados e não para agregações complexas e joins, que são mais comuns em sistemas relacionais.

IV. Esta afirmação é falsa. Bancos de dados orientados a grafos foram criados exatamente para lidar com relações complexas entre os dados, com alto desempenho em operações que envolvem a análise de interconexões.",403757
247,tópico 5,Técnicas de regressão: Árvores de decisão para regressão; Máquinas de vetores de suporte para regressão,"Questão: Ao aplicar técnicas de regressão em um conjunto de dados complexo e de grande dimensão, um cientista de dados pode optar por usar Árvores de Decisão para Regressão (Decision Tree Regression) ou Máquinas de Vetores de Suporte para Regressão (Support Vector Regression - SVR). Ambas as técnicas têm suas particularidades em termos de modelagem e aplicabilidade. Nesse contexto, analise as afirmativas a seguir e marque a opção que contém a assertiva correta:

I. As Árvores de Decisão para Regressão são modelos não-lineares e não-paramétricos que se ajustam perfeitamente a dados com relações lineares.

II. As Máquinas de Vetores de Suporte para Regressão são capazes de modelar relações complexas e não-lineares entre as variáveis independentes e a resposta, especialmente com o uso de funções de kernel.

III. Uma vantagem das Árvores de Decisão para Regressão é sua capacidade de lidar tanto com variáveis categóricas quanto numéricas sem a necessidade de transformação prévia.

IV. As Máquinas de Vetores de Suporte para Regressão requerem a escolha de um parâmetro de regularização e uma função de kernel apropriada, tornando-se mais complexas na fase de configuração e escolha de parâmetros do que as Árvores de Decisão.

A) Apenas a afirmativa I está correta.
B) Apenas a afirmativa II está correta.
C) Apenas a afirmativa III está correta.
D) As afirmativas II e IV estão corretas.
E) Todas as afirmativas I, II, III e IV estão corretas.

",D,"

Explicação dos itens:

I. Esta afirmativa é incorreta. As Árvores de Decisão para Regressão são modelos não-lineares sim, mas elas não se ajustam perfeitamente apenas a dados com relações lineares. Na verdade, são flexíveis para capturar relações não-lineares e interações complexas entre as variáveis.

II. Esta afirmativa é correta. As SVR são particulares por utilizar funções de kernel para modelar relações complexas e não-lineares. Esse recurso permite que a SVR lide eficazmente com dados em espaços de maior dimensão e descubra padrões complexos.

III. Esta afirmativa é correta parcialmente. Enquanto as Árvores de Decisão para Regressão podem lidar diretamente com variáveis categóricas e numéricas, isso não significa que elas sempre operem sem a necessidade de transformação prévia. Em certos casos, a transformação de variáveis pode melhorar a performance do modelo.

IV. Esta afirmativa é correta. A escolha adequada do parâmetro de regularização e da função de kernel é essencial para o desempenho da SVR. Isso pode tornar a fase de configuração do modelo mais complexa em comparação com as Árvores de Decisão, que geralmente têm uma configuração mais direta.

Assim, apenas as afirmativas II e IV estão corretas, tornando a opção D a resposta correta.",1942119
258,tópico 5,"Rotulação de partes do discurso, part-of-speech tagging","Questão: Em processamento de linguagem natural, a técnica conhecida como ""Part-Of-Speech Tagging"" (POS Tagging), ou rotulação de partes do discurso, é fundamental para diversas aplicações, como análise sintática, reconhecimento de entidades nomeadas e tradução automática. Considere o seguinte conjunto de tags do Universal POS tags:

1. VERB - verbos (todos os tempos e modos)
2. NOUN - substantivos (comuns e próprios)
3. PRON - pronomes
4. ADJ - adjetivos
5. ADV - advérbios
6. ADP - preposições e pós-posições
7. CONJ - conjunções coordenativas e subordinativas
8. DET - determinantes
9. NUM - numerais
10. PRT - partículas ou palavras de função gramatical
11. X - outros

Ao analisar a sentença ""O pequeno gato dormia tranquilamente sobre o tapete"", que conjunto de tags do Universal POS corretamente identifica as partes do discurso presentes na sentença?

A) DET, ADJ, NOUN, VERB, ADJ, ADP, DET, NOUN
B) DET, VERB, NOUN, VERB, ADV, ADP, DET, NOUN
C) DET, ADJ, ADJ, VERB, ADV, ADP, NOUN, NOUN
D) DET, ADJ, NOUN, ADJ, VERB, ADP, DET, NOUN
E) DET, ADJ, NOUN, VERB, ADV, ADP, DET, NOUN

",E," 

A opção E é a correta, pois identifica de maneira acurada cada parte do discurso da sentença em questão:
- DET ""O"" é um determinante (artigo definido).
- ADJ ""pequeno"" é um adjetivo que qualifica o substantivo seguinte.
- NOUN ""gato"" é um substantivo, o sujeito da sentença.
- VERB ""dormia"" é um verbo que indica a ação realizada pelo sujeito.
- ADV ""tranquilamente"" é um advérbio que modifica o verbo, indicando a maneira como o gato dormia.
- ADP ""sobre"" é uma preposição que introduz a locução prepositiva, indicando a relação de lugar.
- DET ""o"" é um segundo determinante (artigo definido).
- NOUN ""tapete"" é um substantivo que completa o sentido da locução prepositiva.

As demais opções estão incorretas porque atribuem tags que não correspondem às partes do discurso referidas na sentença. Por exemplo, a opção A atribui erradamente a tag ADJ ao verbo ""dormia"", enquanto a opção B rotula incorretamente o adjetivo ""pequeno"" como um verbo, além de ignorar a preposição ""sobre"". A opção C incorretamente identifica dois adjetivos em sequência e não reconhece o advérbio ""tranquilamente"". Por fim, a opção D insere a tag ADJ onde deveria estar a tag VERB, mostrando uma má interpretação do papel de ""dormia"" na sentença.",514155
275,tópico 5,Ajuste de modelos dentro e fora de amostra e overfitting,"Questão:
 
A técnica de ajuste de modelos em aprendizado de máquina e estatística envolve a otimização dos parâmetros do modelo de modo a melhor capturar a relação existente entre as variáveis independentes e a variável dependente. No entanto, um problema comum encontrado é o overfitting, no qual o modelo ajusta-se perfeitamente aos dados da amostra (in-sample) mas não generaliza bem para novos dados (out-of-sample). Com base nesse conhecimento, considere as seguintes afirmativas a respeito do ajuste de modelos e identifique a opção correta:

I. A validação cruzada é uma técnica que pode ajudar a mitigar o overfitting, permitindo que o modelo seja testado com múltiplos conjuntos de treinamento e validação extraídos da mesma amostra. 
II. Um modelo com alto overfitting pode ter um desempenho notavelmente bom fora da amostra, pois suas especificações complexas permitem uma adaptação precisa a qualquer conjunto de dados.
III. A complexidade do modelo deve ser regulada de forma a equilibrar o erro de treinamento e o erro de validação, evitando assim o trade-off entre viés e variância.
IV. Um modelo com overfitting é caracterizado por um baixo erro de treinamento e um alto erro de validação, sinalizando que o modelo pode não ser capaz de generalizar bem para dados não vistos.

A opção que contém todas as afirmativas verdadeiras é:

a) I e II
b) I e III
c) II e IV
d) III e IV
e) I e IV

",B," 

Explicação dos itens:

I. Verdadeira. A validação cruzada é uma técnica amplamente utilizada para avaliar a capacidade de generalização de um modelo, utilizando diferentes partes da amostra em iterações distintas.

II. Falsa. Overfitting caracteriza-se por uma alta performance na amostra de treinamento, mas uma performance pobre em dados não vistos (fora da amostra). Isso ocorre porque o modelo se torna excessivamente complexo e captura o ruído específico dos dados de treinamento, ao invés das verdadeiras tendências subjacentes.

III. Verdadeira. O ajuste de modelo ideal envolve encontrar um ponto ótimo entre viés (underfitting) e variância (overfitting), o que é muitas vezes referido como o trade-off viés-variância.

IV. Verdadeira. A discrepância entre um baixo erro de treinamento e um alto erro de validação é um indicativo clássico de overfitting, sugerindo que o modelo está memorizando os dados de treinamento específicos, em vez de aprender padrões generalizáveis.

Assim, a resposta correta é o item b), que lista as afirmativas I e III como verdadeiras e descarta a afirmativa II, que está incorreta. O item IV também é verdadeiro e está correto ao mencionar as características de um modelo com overfitting.",4631738
290,tópico 5,Técnicas de classificação: Naive Bayes; Árvores de decisão (algoritmos ID3 e C4.5); Florestas aleatórias (random forest); Máquinas de vetores de suporte (SVM – support vector machines); K vizinhos mais próximos (KNN – K-nearest neighbours),"Questão:
A técnica de classificação é fundamental na análise de dados para a identificação de padrões e a tomada de decisões baseadas em conjuntos de informações. Considere os algoritmos a seguir: Naive Bayes, Árvores de decisão (algoritmos ID3 e C4.5), Florestas aleatórias (Random Forest), Máquinas de vetores de suporte (SVM – Support Vector Machines) e K vizinhos mais próximos (KNN – K-Nearest Neighbours). Cada um desses algoritmos possui características distintas. Sendo assim, qual dos algoritmos listados NÃO se baseia em uma abordagem de aprendizagem baseada em instâncias para realizar a classificação?

A) Naive Bayes
B) Árvores de decisão (ID3)
C) Random Forest
D) SVM
E) KNN

",A,"

Explicação dos itens:
A) O algoritmo Naive Bayes é um classificador probabilístico baseado no teorema de Bayes. Ele não se baseia em aprendizagem baseada em instâncias, mas sim na probabilidade de ocorrência de características para determinar a classificação.
B) As árvores de decisão, incluindo os algoritmos ID3, constroem uma estrutura em forma de árvore, onde cada nó representa uma decisão baseada em um atributo. Não é uma abordagem baseada em instâncias.
C) Random Forest é um método de ensemble que cria diversas árvores de decisão durante o treinamento e faz a classificação por meio de uma votação majoritária entre essas árvores. Também não é uma abordagem baseada em instâncias.
D) SVM é uma técnica que tenta encontrar o hiperplano de separação ótimo entre as diferentes classes de dados. É uma abordagem baseada em geometria e não em instâncias.
E) KNN é um algoritmo que classifica um novo objeto com base na similaridade com os 'K' vizinhos mais próximos encontrados no espaço de características. É o único algoritmo da lista que se baseia explicitamente em aprendizagem baseada em instâncias.",8543681
292,tópico 5,Técnicas de regressão: Árvores de decisão para regressão; Máquinas de vetores de suporte para regressão,"Questão: A modelagem preditiva é uma ferramenta estatística essencial para o entendimento de complexas relações entre variáveis em diversas áreas, incluindo finanças, medicina e pesquisa social. No contexto do aprendizado de máquina, técnicas como Árvores de Decisão para Regressão (Decision Tree Regression) e Máquinas de Vetores de Suporte para Regressão (Support Vector Regression - SVR) são amplamente utilizadas para predizer valores contínuos com base em variáveis independentes. Sobre essas duas técnicas, afirma-se que:

I - Árvores de Decisão para Regressão funcionam dividindo o espaço da variável independente em regiões distintas e fazendo previsões com base na média dos valores da variável dependente em cada região.

II - Máquinas de Vetores de Suporte para Regressão são robustas a outliers, pois empregam a ideia de margem suave, permitindo que algumas violações no limite do corredor de decisão ocorram sem grande penalização no modelo.

III - Ao contrário das Árvores de Decisão, Máquinas de Vetores de Suporte para Regressão não são capazes de modelar relações não lineares, mesmo quando empregando funções kernel.

IV - Tanto as Árvores de Decisão para Regressão quanto as Máquinas de Vetores de Suporte exigem criteriosa parametrização e ajuste fino (fine-tuning) para evitar o sobreajuste (overfitting) dos modelos aos dados de treinamento.

Estão corretas apenas as afirmativas:

A) I e III
B) II e IV
C) I, II e IV
D) I, II e III
E) Todas as afirmativas estão corretas

",C,"
A alternativa correta é a C, ""I, II e IV"". Seguindo a separação padrão:

I - Esta afirmação é verdadeira. Árvores de Decisão para Regressão funcionam dividindo o espaço de entrada em regiões e fazendo previsões por meio do valor médio da variável de saída em cada região. Isso é conhecido como aproximação de ""peça por peça"".

II - Esta afirmação também é verdadeira. Máquinas de Vetores de Suporte para Regressão podem ser mais tolerantes a outliers porque a função de perda usada (geralmente, a função de perda epsilon-insensível) não penaliza erros dentro de um determinado limite, o que é considerado a margem suave.

III - Esta afirmação é falsa. Máquinas de Vetores de Suporte podem modelar relações não lineares usando funções kernel, como o RBF (Radial Basis Function), polinomial, ou sigmoide, o que é uma característica importante dessa técnica.

IV - Esta afirmação é verdadeira. Para evitar o sobreajuste, é necessário um ajuste cuidadoso dos parâmetros tanto nas Árvores de Decisão para Regressão quanto nas Máquinas de Vetores de Suporte. No caso das árvores, parâmetros como a profundidade máxima, número mínimo de amostras por folha e métodos de poda são cruciais. Nas SVMs, os parâmetros do kernel e o parâmetro de regularização C desempenham papel semelhante.",1708013
303,tópico 5,Técnicas de redução de dimensionalidade: Seleção de características (feature selection); Análise de componentes principais (PCA – principal component analysis),"Questão: Em análise de dados, diversas técnicas são utilizadas para redução de dimensionalidade, com o objetivo de simplificar modelos, reduzir custo computacional ou remover informações redundantes. Entre as técnicas de Seleção de características (feature selection) e Análise de componentes principais (PCA – principal component analysis), assinale a alternativa correta referente às suas aplicações e caracterizações.

A) Seleção de características é uma técnica que, ao contrário do PCA, mantém a interpretabilidade original das variáveis, pois seleciona um subconjunto de características originais relevantes para o modelo.

B) PCA transforma as variáveis originais em um novo conjunto de variáveis, chamadas de componentes principais, que não são escolhidas por sua relevância, mas por sua capacidade de reter a variabilidade dos dados originais.

C) Tanto a seleção de características como o PCA são métodos supervisionados, necessitando do conhecimento dos rótulos dos dados para determinar a redução de dimensionalidade mais apropriada.

D) O PCA é considerado uma técnica de feature selection, pois seleciona as variáveis mais importantes mantendo a variabilidade dos dados e ignorando as demais.

E) Seleção de características busca maximizar a variância dos dados enquanto minimiza a covariância entre as variáveis, processo inverso ao realizado pelo PCA.

",A," 
A seleção de características é um método de redução de dimensionalidade que busca escolher um subconjeto de características relevantes a partir das características originais, preservando a interpretabilidade das variáveis. Ela não transforma os dados, apenas seleciona dentre os existentes. Já o PCA, caracterizado na opção B, é um método não-supervisionado que transforma as variáveis originais em componentes principais, que são um novo conjunto de variáveis ortogonais que maximizam a variabilidade dos dados. A opção C está incorreta porque o PCA é um método não-supervisionado e não requer rótulos dos dados. A opção D não é correta porque PCA é uma técnica de transformação de características, e não seleção. Finalmente, a opção E confunde os objetivos das duas técnicas, já que a seleção de características não visa a maximização ou minimização de variância ou covariância.",6283704
